Symbol,PN,Type,Date,Volatility
URO,N/A,QMLE-Trade,2008-9-22,0.158818
URO,N/A,QMLE-Trade,2008-9-23,0.163069
URO,N/A,QMLE-Trade,2008-9-24,0.152532
URO,N/A,QMLE-Trade,2008-9-25,0.153934
URO,N/A,QMLE-Trade,2008-9-26,0.143924
URO,N/A,QMLE-Trade,2008-9-29,0.19834
URO,N/A,QMLE-Trade,2008-9-30,0.166289
URO,N/A,QMLE-Trade,2008-10-1,0.187171
URO,N/A,QMLE-Trade,2008-10-2,0.206782
URO,N/A,QMLE-Trade,2008-10-3,0.203389
URO,N/A,QMLE-Trade,2008-10-6,0.218517
URO,N/A,QMLE-Trade,2008-10-7,0.233601
URO,N/A,QMLE-Trade,2008-10-8,0.282219
URO,N/A,QMLE-Trade,2008-10-9,0.208034
URO,N/A,QMLE-Trade,2008-10-10,0.254453
URO,N/A,QMLE-Trade,2008-10-13,0.202875
URO,N/A,QMLE-Trade,2008-10-14,0.201275
URO,N/A,QMLE-Trade,2008-10-15,0.186604
URO,N/A,QMLE-Trade,2008-10-16,0.237767
URO,N/A,QMLE-Trade,2008-10-17,0.185186
URO,N/A,QMLE-Trade,2008-10-20,0.167612
URO,N/A,QMLE-Trade,2008-10-21,0.16267
URO,N/A,QMLE-Trade,2008-10-23,0.272157
URO,N/A,QMLE-Trade,2008-10-24,0.352543
URO,N/A,QMLE-Trade,2008-10-27,0.298008
URO,N/A,QMLE-Trade,2008-10-28,0.275467
URO,N/A,QMLE-Trade,2008-10-29,0.295711
URO,N/A,QMLE-Trade,2008-10-30,0.308282
URO,N/A,QMLE-Trade,2008-10-31,0.300484
URO,N/A,QMLE-Trade,2008-11-3,0.193287
URO,N/A,QMLE-Trade,2008-11-4,0.24211
URO,N/A,QMLE-Trade,2008-11-5,0.275047
URO,N/A,QMLE-Trade,2008-11-6,0.271407
URO,N/A,QMLE-Trade,2008-11-7,0.228184
URO,N/A,QMLE-Trade,2008-11-10,0.191175
URO,N/A,QMLE-Trade,2008-11-11,0.206769
URO,N/A,QMLE-Trade,2008-11-12,0.22417
URO,N/A,QMLE-Trade,2008-11-13,0.273397
URO,N/A,QMLE-Trade,2008-11-14,0.256002
URO,N/A,QMLE-Trade,2008-11-17,0.22003
URO,N/A,QMLE-Trade,2008-11-18,0.202008
URO,N/A,QMLE-Trade,2008-11-20,0.218835
URO,N/A,QMLE-Trade,2008-11-21,0.226474
URO,N/A,QMLE-Trade,2008-11-24,0.204974
URO,N/A,QMLE-Trade,2008-11-25,0.229271
URO,N/A,QMLE-Trade,2008-11-26,0.198021
URO,N/A,QMLE-Trade,2008-11-28,0.165255
URO,N/A,QMLE-Trade,2008-12-1,0.179817
URO,N/A,QMLE-Trade,2008-12-2,0.186404
URO,N/A,QMLE-Trade,2008-12-3,0.175732
URO,N/A,QMLE-Trade,2008-12-4,0.194468
URO,N/A,QMLE-Trade,2008-12-5,0.199392
URO,N/A,QMLE-Trade,2008-12-8,0.166076
URO,N/A,QMLE-Trade,2008-12-9,0.159099
URO,N/A,QMLE-Trade,2008-12-10,0.150369
URO,N/A,QMLE-Trade,2008-12-11,0.181473
URO,N/A,QMLE-Trade,2008-12-12,0.223529
URO,N/A,QMLE-Trade,2008-12-15,0.153981
URO,N/A,QMLE-Trade,2008-12-16,0.188237
URO,N/A,QMLE-Trade,2008-12-17,0.23561
URO,N/A,QMLE-Trade,2008-12-18,0.29992
URO,N/A,QMLE-Trade,2008-12-19,0.287096
URO,N/A,QMLE-Trade,2008-12-22,0.222616
URO,N/A,QMLE-Trade,2008-12-23,0.149121
URO,N/A,QMLE-Trade,2008-12-24,0.106412
URO,N/A,QMLE-Trade,2008-12-26,0.112421
URO,N/A,QMLE-Trade,2008-12-29,0.182419
URO,N/A,QMLE-Trade,2008-12-30,0.187272
URO,N/A,QMLE-Trade,2008-12-31,0.196104
URO,N/A,QMLE-Trade,2009-1-2,0.204467
URO,N/A,QMLE-Trade,2009-1-5,0.214718
URO,N/A,QMLE-Trade,2009-1-6,0.233552
URO,N/A,QMLE-Trade,2009-1-7,0.227907
URO,N/A,QMLE-Trade,2009-1-8,0.224288
URO,N/A,QMLE-Trade,2009-1-9,0.231444
URO,N/A,QMLE-Trade,2009-1-12,0.197038
URO,N/A,QMLE-Trade,2009-1-13,0.218716
URO,N/A,QMLE-Trade,2009-1-14,0.202794
URO,N/A,QMLE-Trade,2009-1-15,0.255592
URO,N/A,QMLE-Trade,2009-1-16,0.19629
URO,N/A,QMLE-Trade,2009-1-20,0.22068
URO,N/A,QMLE-Trade,2009-1-21,0.231383
URO,N/A,QMLE-Trade,2009-1-22,0.221668
URO,N/A,QMLE-Trade,2009-1-23,0.219133
URO,N/A,QMLE-Trade,2009-1-26,0.210573
URO,N/A,QMLE-Trade,2009-1-27,0.213088
URO,N/A,QMLE-Trade,2009-1-28,0.226392
URO,N/A,QMLE-Trade,2009-1-29,0.200018
URO,N/A,QMLE-Trade,2009-1-30,0.213575
URO,N/A,QMLE-Trade,2009-2-2,0.177403
URO,N/A,QMLE-Trade,2009-2-3,0.193043
URO,N/A,QMLE-Trade,2009-2-4,0.195399
URO,N/A,QMLE-Trade,2009-2-5,0.194428
URO,N/A,QMLE-Trade,2009-2-6,0.18751
URO,N/A,QMLE-Trade,2009-2-9,0.160302
URO,N/A,QMLE-Trade,2009-2-10,0.231972
URO,N/A,QMLE-Trade,2009-2-11,0.183986
URO,N/A,QMLE-Trade,2009-2-12,0.201336
URO,N/A,QMLE-Trade,2009-2-13,0.17416
URO,N/A,QMLE-Trade,2009-2-17,0.184824
URO,N/A,QMLE-Trade,2009-2-18,0.15623
URO,N/A,QMLE-Trade,2009-2-19,0.142569
URO,N/A,QMLE-Trade,2009-2-20,0.190168
URO,N/A,QMLE-Trade,2009-2-23,0.190497
URO,N/A,QMLE-Trade,2009-2-24,0.166347
URO,N/A,QMLE-Trade,2009-2-25,0.161914
URO,N/A,QMLE-Trade,2009-2-26,0.156206
URO,N/A,QMLE-Trade,2009-2-27,0.174164
URO,N/A,QMLE-Trade,2009-3-2,0.154359
URO,N/A,QMLE-Trade,2009-3-3,0.156963
URO,N/A,QMLE-Trade,2009-3-4,0.152498
URO,N/A,QMLE-Trade,2009-3-5,0.150488
URO,N/A,QMLE-Trade,2009-3-6,0.182605
URO,N/A,QMLE-Trade,2009-3-9,0.139713
URO,N/A,QMLE-Trade,2009-3-10,0.154923
URO,N/A,QMLE-Trade,2009-3-11,0.173181
URO,N/A,QMLE-Trade,2009-3-12,0.187375
URO,N/A,QMLE-Trade,2009-3-13,0.147266
URO,N/A,QMLE-Trade,2009-3-16,0.139616
URO,N/A,QMLE-Trade,2009-3-17,0.147259
URO,N/A,QMLE-Trade,2009-3-18,0.220473
URO,N/A,QMLE-Trade,2009-3-19,0.19057
URO,N/A,QMLE-Trade,2009-3-20,0.178831
URO,N/A,QMLE-Trade,2009-3-23,0.159238
URO,N/A,QMLE-Trade,2009-3-24,0.174091
URO,N/A,QMLE-Trade,2009-3-25,0.202507
URO,N/A,QMLE-Trade,2009-3-26,0.159352
URO,N/A,QMLE-Trade,2009-3-27,0.153924
URO,N/A,QMLE-Trade,2009-3-30,0.165152
URO,N/A,QMLE-Trade,2009-3-31,0.147041
URO,N/A,QMLE-Trade,2009-4-1,0.160496
URO,N/A,QMLE-Trade,2009-4-2,0.192228
URO,N/A,QMLE-Trade,2009-4-3,0.161237
URO,N/A,QMLE-Trade,2009-4-6,0.137579
URO,N/A,QMLE-Trade,2009-4-7,0.141548
URO,N/A,QMLE-Trade,2009-4-8,0.140747
URO,N/A,QMLE-Trade,2009-4-9,0.149381
URO,N/A,QMLE-Trade,2009-4-13,0.110842
URO,N/A,QMLE-Trade,2009-4-14,0.14085
URO,N/A,QMLE-Trade,2009-4-15,0.131896
URO,N/A,QMLE-Trade,2009-4-16,0.14387
URO,N/A,QMLE-Trade,2009-4-17,0.138205
URO,N/A,QMLE-Trade,2009-4-20,0.130017
URO,N/A,QMLE-Trade,2009-4-21,0.123481
URO,N/A,QMLE-Trade,2009-4-22,0.132014
URO,N/A,QMLE-Trade,2009-4-23,0.119437
URO,N/A,QMLE-Trade,2009-4-24,0.141892
URO,N/A,QMLE-Trade,2009-4-27,0.141158
URO,N/A,QMLE-Trade,2009-4-28,0.131864
URO,N/A,QMLE-Trade,2009-4-29,0.163445
URO,N/A,QMLE-Trade,2009-4-30,0.161012
URO,N/A,QMLE-Trade,2009-5-1,0.119752
URO,N/A,QMLE-Trade,2009-5-4,0.118281
URO,N/A,QMLE-Trade,2009-5-5,0.13575
URO,N/A,QMLE-Trade,2009-5-6,0.148586
URO,N/A,QMLE-Trade,2009-5-7,0.175965
URO,N/A,QMLE-Trade,2009-5-8,0.145452
URO,N/A,QMLE-Trade,2009-5-11,0.117699
URO,N/A,QMLE-Trade,2009-5-12,0.130123
URO,N/A,QMLE-Trade,2009-5-13,0.147558
URO,N/A,QMLE-Trade,2009-5-14,0.132937
URO,N/A,QMLE-Trade,2009-5-15,0.127178
URO,N/A,QMLE-Trade,2009-5-18,0.108653
URO,N/A,QMLE-Trade,2009-5-19,0.122104
URO,N/A,QMLE-Trade,2009-5-20,0.124056
URO,N/A,QMLE-Trade,2009-5-21,0.154885
URO,N/A,QMLE-Trade,2009-5-22,0.134989
URO,N/A,QMLE-Trade,2009-5-26,0.122847
URO,N/A,QMLE-Trade,2009-5-27,0.133993
URO,N/A,QMLE-Trade,2009-5-28,0.139872
URO,N/A,QMLE-Trade,2009-5-29,0.135985
URO,N/A,QMLE-Trade,2009-6-1,0.13239
URO,N/A,QMLE-Trade,2009-6-2,0.135027
URO,N/A,QMLE-Trade,2009-6-3,0.158017
URO,N/A,QMLE-Trade,2009-6-4,0.161646
URO,N/A,QMLE-Trade,2009-6-5,0.155354
URO,N/A,QMLE-Trade,2009-6-8,0.129332
URO,N/A,QMLE-Trade,2009-6-9,0.137554
URO,N/A,QMLE-Trade,2009-6-10,0.157421
URO,N/A,QMLE-Trade,2009-6-11,0.152485
URO,N/A,QMLE-Trade,2009-6-12,0.140281
URO,N/A,QMLE-Trade,2009-6-15,0.132921
URO,N/A,QMLE-Trade,2009-6-16,0.152431
URO,N/A,QMLE-Trade,2009-6-17,0.13133
URO,N/A,QMLE-Trade,2009-6-18,0.136446
URO,N/A,QMLE-Trade,2009-6-19,0.120188
URO,N/A,QMLE-Trade,2009-6-22,0.120563
URO,N/A,QMLE-Trade,2009-6-23,0.125218
URO,N/A,QMLE-Trade,2009-6-24,0.16086
URO,N/A,QMLE-Trade,2009-6-25,0.123992
URO,N/A,QMLE-Trade,2009-6-26,0.106932
URO,N/A,QMLE-Trade,2009-6-29,0.0992557
URO,N/A,QMLE-Trade,2009-6-30,0.12227
URO,N/A,QMLE-Trade,2009-7-1,0.118726
URO,N/A,QMLE-Trade,2009-7-2,0.126019
URO,N/A,QMLE-Trade,2009-7-6,0.0987089
URO,N/A,QMLE-Trade,2009-7-7,0.104802
URO,N/A,QMLE-Trade,2009-7-8,0.122187
URO,N/A,QMLE-Trade,2009-7-9,0.147535
URO,N/A,QMLE-Trade,2009-7-10,0.114568
URO,N/A,QMLE-Trade,2009-7-13,0.110056
URO,N/A,QMLE-Trade,2009-7-14,0.116354
URO,N/A,QMLE-Trade,2009-7-15,0.100606
URO,N/A,QMLE-Trade,2009-7-16,0.109193
URO,N/A,QMLE-Trade,2009-7-17,0.096889
URO,N/A,QMLE-Trade,2009-7-20,0.0996721
URO,N/A,QMLE-Trade,2009-7-21,0.0954062
URO,N/A,QMLE-Trade,2009-7-22,0.0959648
URO,N/A,QMLE-Trade,2009-7-23,0.105853
URO,N/A,QMLE-Trade,2009-7-24,0.0896085
URO,N/A,QMLE-Trade,2009-7-27,0.0909442
URO,N/A,QMLE-Trade,2009-7-28,0.089774
URO,N/A,QMLE-Trade,2009-7-29,0.110333
URO,N/A,QMLE-Trade,2009-7-30,0.100504
URO,N/A,QMLE-Trade,2009-7-31,0.113793
URO,N/A,QMLE-Trade,2009-8-3,0.122818
URO,N/A,QMLE-Trade,2009-8-4,0.0982764
URO,N/A,QMLE-Trade,2009-8-5,0.0949161
URO,N/A,QMLE-Trade,2009-8-6,0.102187
