Symbol,PN,Type,Date,Volatility
AD,N/A,QMLE-Trade,2008-9-22,0.231402
AD,N/A,QMLE-Trade,2008-9-23,0.253334
AD,N/A,QMLE-Trade,2008-9-24,0.219481
AD,N/A,QMLE-Trade,2008-9-25,0.209195
AD,N/A,QMLE-Trade,2008-9-26,0.203317
AD,N/A,QMLE-Trade,2008-9-29,0.239075
AD,N/A,QMLE-Trade,2008-9-30,0.272391
AD,N/A,QMLE-Trade,2008-10-2,0.270253
AD,N/A,QMLE-Trade,2008-10-3,0.306632
AD,N/A,QMLE-Trade,2008-10-6,0.500041
AD,N/A,QMLE-Trade,2008-10-7,0.670813
AD,N/A,QMLE-Trade,2008-10-8,0.918431
AD,N/A,QMLE-Trade,2008-10-9,0.617823
AD,N/A,QMLE-Trade,2008-10-10,0.846399
AD,N/A,QMLE-Trade,2008-10-13,0.559226
AD,N/A,QMLE-Trade,2008-10-14,0.501784
AD,N/A,QMLE-Trade,2008-10-15,0.508157
AD,N/A,QMLE-Trade,2008-10-16,0.700538
AD,N/A,QMLE-Trade,2008-10-17,0.555373
AD,N/A,QMLE-Trade,2008-10-21,0.404343
AD,N/A,QMLE-Trade,2008-10-23,0.581161
AD,N/A,QMLE-Trade,2008-10-24,0.80912
AD,N/A,QMLE-Trade,2008-10-27,0.541371
AD,N/A,QMLE-Trade,2008-10-28,0.486781
AD,N/A,QMLE-Trade,2008-10-29,0.503812
AD,N/A,QMLE-Trade,2008-10-30,0.599023
AD,N/A,QMLE-Trade,2008-10-31,0.637164
AD,N/A,QMLE-Trade,2008-11-4,0.451984
AD,N/A,QMLE-Trade,2008-11-5,0.502491
AD,N/A,QMLE-Trade,2008-11-6,0.504747
AD,N/A,QMLE-Trade,2008-11-7,0.470285
AD,N/A,QMLE-Trade,2008-11-10,0.420787
AD,N/A,QMLE-Trade,2008-11-11,0.415711
AD,N/A,QMLE-Trade,2008-11-12,0.449115
AD,N/A,QMLE-Trade,2008-11-13,0.496878
AD,N/A,QMLE-Trade,2008-11-14,0.47775
AD,N/A,QMLE-Trade,2008-11-17,0.410949
AD,N/A,QMLE-Trade,2008-11-18,0.335767
AD,N/A,QMLE-Trade,2008-11-20,0.495889
AD,N/A,QMLE-Trade,2008-11-21,0.450757
AD,N/A,QMLE-Trade,2008-11-24,0.385441
AD,N/A,QMLE-Trade,2008-11-25,0.483334
AD,N/A,QMLE-Trade,2008-11-26,0.303427
AD,N/A,QMLE-Trade,2008-11-28,0.255079
AD,N/A,QMLE-Trade,2008-12-1,0.293037
AD,N/A,QMLE-Trade,2008-12-2,0.371099
AD,N/A,QMLE-Trade,2008-12-3,0.313889
AD,N/A,QMLE-Trade,2008-12-4,0.333349
AD,N/A,QMLE-Trade,2008-12-5,0.364838
AD,N/A,QMLE-Trade,2008-12-8,0.293931
AD,N/A,QMLE-Trade,2008-12-9,0.269673
AD,N/A,QMLE-Trade,2008-12-10,0.25599
AD,N/A,QMLE-Trade,2008-12-11,0.297132
AD,N/A,QMLE-Trade,2008-12-12,0.40293
AD,N/A,QMLE-Trade,2008-12-15,0.252108
AD,N/A,QMLE-Trade,2008-12-16,0.343309
AD,N/A,QMLE-Trade,2008-12-17,0.355206
AD,N/A,QMLE-Trade,2008-12-18,0.38454
AD,N/A,QMLE-Trade,2008-12-19,0.350608
AD,N/A,QMLE-Trade,2008-12-22,0.208343
AD,N/A,QMLE-Trade,2008-12-23,0.153374
AD,N/A,QMLE-Trade,2008-12-24,0.140553
AD,N/A,QMLE-Trade,2008-12-26,1.41184
AD,N/A,QMLE-Trade,2008-12-29,0.199904
AD,N/A,QMLE-Trade,2008-12-30,0.198601
AD,N/A,QMLE-Trade,2008-12-31,0.290182
AD,N/A,QMLE-Trade,2009-1-2,0.25985
AD,N/A,QMLE-Trade,2009-1-5,0.250928
AD,N/A,QMLE-Trade,2009-1-6,0.28558
AD,N/A,QMLE-Trade,2009-1-7,0.279474
AD,N/A,QMLE-Trade,2009-1-8,0.32969
AD,N/A,QMLE-Trade,2009-1-9,0.28023
AD,N/A,QMLE-Trade,2009-1-12,0.268401
AD,N/A,QMLE-Trade,2009-1-13,0.273764
AD,N/A,QMLE-Trade,2009-1-14,0.308085
AD,N/A,QMLE-Trade,2009-1-15,0.382581
AD,N/A,QMLE-Trade,2009-1-16,0.302884
AD,N/A,QMLE-Trade,2009-1-20,0.305985
AD,N/A,QMLE-Trade,2009-1-21,0.326109
AD,N/A,QMLE-Trade,2009-1-22,0.332303
AD,N/A,QMLE-Trade,2009-1-23,0.302374
AD,N/A,QMLE-Trade,2009-1-26,0.269543
AD,N/A,QMLE-Trade,2009-1-27,0.302218
AD,N/A,QMLE-Trade,2009-1-28,0.29791
AD,N/A,QMLE-Trade,2009-1-29,0.278714
AD,N/A,QMLE-Trade,2009-1-30,0.299265
AD,N/A,QMLE-Trade,2009-2-2,0.251142
AD,N/A,QMLE-Trade,2009-2-3,0.314996
AD,N/A,QMLE-Trade,2009-2-4,0.33278
AD,N/A,QMLE-Trade,2009-2-5,0.31014
AD,N/A,QMLE-Trade,2009-2-6,0.331801
AD,N/A,QMLE-Trade,2009-2-9,0.270692
AD,N/A,QMLE-Trade,2009-2-10,0.420426
AD,N/A,QMLE-Trade,2009-2-11,0.322152
AD,N/A,QMLE-Trade,2009-2-12,0.354892
AD,N/A,QMLE-Trade,2009-2-13,0.292164
AD,N/A,QMLE-Trade,2009-2-17,0.267625
AD,N/A,QMLE-Trade,2009-2-18,0.271176
AD,N/A,QMLE-Trade,2009-2-19,0.235586
AD,N/A,QMLE-Trade,2009-2-20,0.288153
AD,N/A,QMLE-Trade,2009-2-23,0.26852
AD,N/A,QMLE-Trade,2009-2-24,0.24276
AD,N/A,QMLE-Trade,2009-2-25,0.248319
AD,N/A,QMLE-Trade,2009-2-26,0.227201
AD,N/A,QMLE-Trade,2009-2-27,0.27119
AD,N/A,QMLE-Trade,2009-3-2,0.260728
AD,N/A,QMLE-Trade,2009-3-3,0.277098
AD,N/A,QMLE-Trade,2009-3-4,0.231721
AD,N/A,QMLE-Trade,2009-3-5,0.250443
AD,N/A,QMLE-Trade,2009-3-6,0.27043
AD,N/A,QMLE-Trade,2009-3-9,0.217784
AD,N/A,QMLE-Trade,2009-3-10,0.227438
AD,N/A,QMLE-Trade,2009-3-11,0.245101
AD,N/A,QMLE-Trade,2009-3-12,0.286508
AD,N/A,QMLE-Trade,2009-3-13,0.201113
AD,N/A,QMLE-Trade,2009-3-16,0.164897
AD,N/A,QMLE-Trade,2009-3-17,0.165214
AD,N/A,QMLE-Trade,2009-3-18,0.257424
AD,N/A,QMLE-Trade,2009-3-19,0.275587
AD,N/A,QMLE-Trade,2009-3-20,0.220713
AD,N/A,QMLE-Trade,2009-3-23,0.219124
AD,N/A,QMLE-Trade,2009-3-24,0.258404
AD,N/A,QMLE-Trade,2009-3-25,0.256658
AD,N/A,QMLE-Trade,2009-3-26,0.186815
AD,N/A,QMLE-Trade,2009-3-27,0.255772
AD,N/A,QMLE-Trade,2009-3-30,0.214634
AD,N/A,QMLE-Trade,2009-3-31,0.209287
AD,N/A,QMLE-Trade,2009-4-1,0.219578
AD,N/A,QMLE-Trade,2009-4-2,0.233237
AD,N/A,QMLE-Trade,2009-4-3,0.263811
AD,N/A,QMLE-Trade,2009-4-6,0.201779
AD,N/A,QMLE-Trade,2009-4-7,0.256386
AD,N/A,QMLE-Trade,2009-4-8,0.20227
AD,N/A,QMLE-Trade,2009-4-9,0.214644
AD,N/A,QMLE-Trade,2009-4-13,0.150659
AD,N/A,QMLE-Trade,2009-4-14,0.205362
AD,N/A,QMLE-Trade,2009-4-15,0.204049
AD,N/A,QMLE-Trade,2009-4-16,0.245272
