ticker,date,RV_actual,RV_predicted
SPY,2001-01-02,0.220083,0.15755197
SPY,2001-01-03,0.756527,0.16315944
SPY,2001-01-04,0.247565,0.15069614
SPY,2001-01-05,0.313068,0.16109534
SPY,2001-01-08,0.234025,0.15818803
SPY,2001-01-09,0.196885,0.15947449
SPY,2001-01-10,0.256689,0.111862086
SPY,2001-01-11,0.169605,0.15724675
SPY,2001-01-12,0.212539,0.15274878
SPY,2001-01-16,0.149796,0.15832847
SPY,2001-01-17,0.16372,0.15915929
SPY,2001-01-18,0.159432,0.14912286
SPY,2001-01-19,0.170918,0.16151544
SPY,2001-01-22,0.16459,0.15784727
SPY,2001-01-23,0.125814,0.16092697
SPY,2001-01-24,0.147416,0.15506704
SPY,2001-01-25,0.161569,0.1573113
SPY,2001-01-26,0.139099,0.1583412
SPY,2001-01-29,0.0799442,0.16618767
SPY,2001-01-30,0.116172,0.1678597
SPY,2001-01-31,0.184017,0.17056338
SPY,2001-02-01,0.0891091,0.16282654
SPY,2001-02-02,0.15837,0.16666588
SPY,2001-02-05,0.129498,0.13157216
SPY,2001-02-06,0.113381,0.16344635
SPY,2001-02-07,0.135523,0.15300499
SPY,2001-02-08,0.13408,0.16293351
SPY,2001-02-09,0.140044,0.16070616
SPY,2001-02-12,0.139074,0.16798352
SPY,2001-02-13,0.132455,0.16373564
SPY,2001-02-14,0.149864,0.16342525
SPY,2001-02-15,0.0996373,0.16834508
SPY,2001-02-16,0.168165,0.16556177
SPY,2001-02-20,0.151035,0.14936377
SPY,2001-02-21,0.195323,0.16051993
SPY,2001-02-22,0.310094,0.16203426
SPY,2001-02-23,0.296518,0.16110006
SPY,2001-02-26,0.191496,0.159003
SPY,2001-02-27,0.221038,0.1644955
SPY,2001-02-28,0.252385,0.16294083
SPY,2001-03-01,0.267051,0.16108422
SPY,2001-03-02,0.312015,0.15713473
SPY,2001-03-05,0.151428,0.16575511
SPY,2001-03-06,0.151212,0.16585867
SPY,2001-03-07,0.163928,0.15954895
SPY,2001-03-08,0.147877,0.13300715
SPY,2001-03-09,0.207989,0.1571511
SPY,2001-03-12,0.252614,0.1576617
SPY,2001-03-13,0.244658,0.16177203
SPY,2001-03-14,0.405902,0.1617493
SPY,2001-03-15,0.19347,0.15643732
SPY,2001-03-16,0.250971,0.16080703
SPY,2001-03-19,0.173754,0.16416909
SPY,2001-03-20,0.261274,0.16533534
SPY,2001-03-21,0.31817,0.15025605
SPY,2001-03-22,0.377568,0.16012554
SPY,2001-03-23,0.296428,0.16151573
SPY,2001-03-26,0.198129,0.16547492
SPY,2001-03-27,0.210474,0.15410365
SPY,2001-03-28,0.253509,0.15698403
SPY,2001-03-29,0.234957,0.15160497
SPY,2001-03-30,0.254353,0.16046868
SPY,2001-04-02,0.24049,0.16643204
